esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ./resources/myresources/./FourWaySignal.xosc
Number of Vehicles: 1
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , 
0, 0.000000, Sedan, 0, 17.881599, 0.000000, 0.000000, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -78.022270, -10.711460, 0.000000, 17.593408, 3.197433, 0.000000, 0.000000, 0.000000, 0.000000, 38.860000, -5.250000, -2, -0.000000, 0.179778, 0.000000, 0.009563, 0.009563, 0.000000, 0.000000, , 
1, 0.050000, Sedan, 0, 17.881599, 0.025000, 2.554514, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -77.146466, -10.532317, 0.000000, 17.516083, 3.582853, 0.000000, -1.546506, 7.708390, 0.000000, 39.753493, -5.221803, -2, 0.028197, 0.231023, 1.024889, 0.060807, 0.060807, 0.000000, 0.000000, , 
2, 0.100000, Sedan, 0, 17.881599, 0.050000, 5.109028, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.282334, -10.303342, 0.000000, 17.282635, 4.579504, 0.000000, -4.668968, 19.933021, 0.000000, 40.643924, -5.142516, -2, 0.107484, 0.285625, 1.092046, 0.115410, 0.115410, 0.000000, 0.000000, , 
3, 0.150000, Sedan, 0, 17.881599, 0.075000, 1.380357, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -75.430900, -10.030805, 0.000000, 17.028683, 5.450742, 0.000000, -5.079026, 17.424765, 0.000000, 41.529220, -5.018145, -2, 0.231855, 0.333400, 0.955493, 0.163184, 0.163184, 0.000000, 0.000000, , 
4, 0.200000, Sedan, 0, 17.881599, 0.100000, 3.934872, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -74.592526, -9.720331, 0.000000, 16.767477, 6.209475, 0.000000, -5.224131, 15.174649, 0.000000, 42.408070, -4.854174, -2, 0.395826, 0.373963, 0.811257, 0.203747, 0.203747, 0.000000, 0.000000, , 
5, 0.250000, Sedan, 0, 17.881599, 0.117803, 0.206200, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -73.766135, -9.379199, 0.000000, 16.527826, 6.822651, 0.000000, -4.793006, 12.263517, 0.000000, 43.280305, -4.657958, -2, 0.592042, 0.407489, 0.670524, 0.237273, 0.237273, 0.000000, 0.000000, , 
6, 0.300000, Sedan, 0, 17.881599, 0.103612, 2.760715, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -72.950277, -9.013546, 0.000000, 16.317155, 7.313060, 0.000000, -4.213424, 9.808184, 0.000000, 44.146311, -4.435791, -2, 0.814209, 0.436976, 0.589749, 0.266761, 0.266761, 0.000000, 0.000000, , 
7, 0.350000, Sedan, 0, 17.881599, 0.078612, 5.315229, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -72.143453, -8.628339, 0.000000, 16.136475, 7.704130, 0.000000, -3.613610, 7.821398, 0.000000, 45.006727, -4.192823, -2, 1.057177, 0.453505, 0.330579, 0.283290, 0.283290, 0.000000, 0.000000, , 
8, 0.400000, Sedan, 0, 17.881599, 0.053612, 1.586558, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -71.342696, -8.230662, 0.000000, 16.015144, 7.953537, 0.000000, -2.426610, 4.988138, 0.000000, 45.863276, -3.936537, -2, 1.313463, 0.467293, 0.275754, 0.297078, 0.297078, 0.000000, 0.000000, , 
9, 0.450000, Sedan, 0, 17.881599, 0.028612, 4.141072, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -70.546378, -7.824152, 0.000000, 15.926361, 8.130212, 0.000000, -1.775676, 3.533519, 0.000000, 46.716947, -3.670793, -2, 1.579207, 0.473437, 0.122883, 0.303222, 0.303222, 0.000000, 0.000000, , 
