Version: 2, OpenDRIVE: ./FourWaySignal.xodr, 3DModel: ./FourWaySignal.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Sedan, -78.022, -10.711, 0.000, 0.180, 0.000, 0.000, 17.882, 0.000, 0.000
0.050, 0, Sedan, -77.146, -10.532, 0.000, 0.231, 0.000, 0.000, 17.882, 0.025, 2.555
0.100, 0, Sedan, -76.282, -10.303, 0.000, 0.286, 0.000, 0.000, 17.882, 0.050, 5.109
0.150, 0, Sedan, -75.431, -10.031, 0.000, 0.333, 0.000, 0.000, 17.882, 0.075, 1.380
0.200, 0, Sedan, -74.593, -9.720, 0.000, 0.374, 0.000, 0.000, 17.882, 0.100, 3.935
0.250, 0, Sedan, -73.766, -9.379, 0.000, 0.407, 0.000, 0.000, 17.882, 0.118, 0.206
0.300, 0, Sedan, -72.950, -9.014, 0.000, 0.437, 0.000, 0.000, 17.882, 0.104, 2.761
0.350, 0, Sedan, -72.143, -8.628, 0.000, 0.454, 0.000, 0.000, 17.882, 0.079, 5.315
0.400, 0, Sedan, -71.343, -8.231, 0.000, 0.467, 0.000, 0.000, 17.882, 0.054, 1.587
0.450, 0, Sedan, -70.546, -7.824, 0.000, 0.473, 0.000, 0.000, 17.882, 0.029, 4.141
0.500, 0, Sedan, -69.751, -7.416, 0.000, 0.474, 0.000, 0.000, 17.882, 0.004, 0.412
0.550, 0, Sedan, -68.955, -7.008, 0.000, 0.471, 0.000, 0.000, 17.882, -0.009, 2.967
0.600, 0, Sedan, -68.156, -6.608, 0.000, 0.457, 0.000, 0.000, 17.882, -0.034, 5.521
0.650, 0, Sedan, -67.350, -6.220, 0.000, 0.440, 0.000, 0.000, 17.882, -0.059, 1.793
0.700, 0, Sedan, -66.537, -5.848, 0.000, 0.415, 0.000, 0.000, 17.882, -0.084, 4.347
0.750, 0, Sedan, -65.714, -5.500, 0.000, 0.383, 0.000, 0.000, 17.882, -0.109, 0.619
0.800, 0, Sedan, -64.878, -5.182, 0.000, 0.344, 0.000, 0.000, 17.882, -0.134, 3.173
0.850, 0, Sedan, -64.030, -4.899, 0.000, 0.298, 0.000, 0.000, 17.882, -0.159, 5.728
0.900, 0, Sedan, -63.169, -4.659, 0.000, 0.245, 0.000, 0.000, 17.882, -0.184, 1.999
