esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ..\resources\myresources\ALKS_CutoutFullyBocking/./ALKS_CutoutFullyBocking.xosc
Number of Vehicles: 2
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , 
Ego, 1, 16.500000, 0.000000, 0.000000, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, -0.000000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 0, 0.000000, CutInVehicle, 0, 11.000000, 0.000000, 0.000000, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 50.000000, -8.875000, 0.000000, 11.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 1.178571, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 0.412500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.412500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 1, 0.025000, CutInVehicle, 0, 11.000292, 0.000000, 0.785735, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 50.275007, -8.875000, 0.000000, 11.000292, 0.000000, 0.000000, 0.011660, 0.000000, 0.000000, 50.275007, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 2.357143, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 0.825000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.825000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 2, 0.050000, CutInVehicle, 0, 11.001166, 0.000000, 1.571533, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 50.550036, -8.875000, 0.000000, 11.001166, 0.000000, 0.000000, 0.034978, 0.000000, 0.000000, 50.550036, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 3.535714, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 1.237500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.237500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 3, 0.075000, CutInVehicle, 0, 11.002623, 0.000000, 2.357434, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 50.825102, -8.875000, 0.000000, 11.002623, 0.000000, 0.000000, 0.058285, 0.000000, 0.000000, 50.825102, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 4.714286, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 1.650000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.650000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 4, 0.100000, CutInVehicle, 0, 11.004662, 0.000000, 3.143482, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 51.100219, -8.875000, 0.000000, 11.004662, 0.000000, 0.000000, 0.081575, 0.000000, 0.000000, 51.100219, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 5.892857, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 2.062500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 2.062500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 5, 0.125000, CutInVehicle, 0, 11.007284, 0.000000, 3.929716, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 51.375401, -8.875000, 0.000000, 11.007284, 0.000000, 0.000000, 0.104842, 0.000000, 0.000000, 51.375401, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 0.788243, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 2.475000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.475000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 6, 0.150000, CutInVehicle, 0, 11.010485, 0.000000, 4.716179, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 51.650663, -8.875000, 0.000000, 11.010485, 0.000000, 0.000000, 0.128078, 0.000000, 0.000000, 51.650663, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 1.966815, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 2.887500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.887500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 7, 0.175000, CutInVehicle, 0, 11.014267, 0.000000, 5.502913, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 51.926019, -8.875000, 0.000000, 11.014267, 0.000000, 0.000000, 0.151276, 0.000000, 0.000000, 51.926019, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 3.145386, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 3.300000, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.300000, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 8, 0.200000, CutInVehicle, 0, 11.018628, 0.000000, 0.006772, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 52.201485, -8.875000, 0.000000, 11.018628, 0.000000, 0.000000, 0.174431, 0.000000, 0.000000, 52.201485, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
Ego, 1, 16.500000, 0.000000, 4.323958, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 3.712500, -5.325000, 0.000000, 16.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.712500, -5.325000, -2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 9, 0.225000, CutInVehicle, 0, 11.023566, 0.000000, 0.794170, 1.400000, 0.000000, 0.800000, 4.200000, 2.000000, 1.600000, 52.477074, -8.875000, 0.000000, 11.023566, 0.000000, 0.000000, 0.197534, 0.000000, 0.000000, 52.477074, -8.875000, -3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 
