Version: 2, OpenDRIVE: ALKS_CutoutFullyBocking.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 1, Ego, -0.000, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.000
0.000, 0, CutInVehicle, 50.000, -8.875, 0.000, 0.000, 0.000, 0.000, 11.000, 0.000, 0.000
0.025, 1, Ego, 0.412, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.179
0.025, 0, CutInVehicle, 50.275, -8.875, 0.000, 0.000, 0.000, 0.000, 11.000, 0.000, 0.786
0.050, 1, Ego, 0.825, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 2.357
0.050, 0, CutInVehicle, 50.550, -8.875, 0.000, 0.000, 0.000, 0.000, 11.001, 0.000, 1.572
0.075, 1, Ego, 1.237, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.536
0.075, 0, CutInVehicle, 50.825, -8.875, 0.000, 0.000, 0.000, 0.000, 11.003, 0.000, 2.357
0.100, 1, Ego, 1.650, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 4.714
0.100, 0, CutInVehicle, 51.100, -8.875, 0.000, 0.000, 0.000, 0.000, 11.005, 0.000, 3.143
0.125, 1, Ego, 2.062, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 5.893
0.125, 0, CutInVehicle, 51.375, -8.875, 0.000, 0.000, 0.000, 0.000, 11.007, 0.000, 3.930
0.150, 1, Ego, 2.475, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 0.788
0.150, 0, CutInVehicle, 51.651, -8.875, 0.000, 0.000, 0.000, 0.000, 11.010, 0.000, 4.716
0.175, 1, Ego, 2.888, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 1.967
0.175, 0, CutInVehicle, 51.926, -8.875, 0.000, 0.000, 0.000, 0.000, 11.014, 0.000, 5.503
0.200, 1, Ego, 3.300, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 3.145
0.200, 0, CutInVehicle, 52.201, -8.875, 0.000, 0.000, 0.000, 0.000, 11.019, 0.000, 0.007
0.225, 1, Ego, 3.713, -5.325, 0.000, 0.000, 0.000, 0.000, 16.500, 0.000, 4.324
