Version: 2, OpenDRIVE: ./ALKS_Road_straight.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, 5.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.000
0.000, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.025, 0, Ego, 5.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.190
0.025, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, 5.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.381
0.050, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.075, 0, Ego, 6.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.571
0.075, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, 6.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.762
0.100, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.125, 0, Ego, 7.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.952
0.125, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, 7.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.860
0.150, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.175, 0, Ego, 7.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.050
0.175, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, 8.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.241
0.200, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.225, 0, Ego, 8.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.431
0.225, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, 9.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.622
0.250, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.275, 0, Ego, 9.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.529
0.275, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, 10.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.719
0.300, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.325, 0, Ego, 10.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.910
0.325, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, 10.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.100
0.350, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.375, 0, Ego, 11.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.291
0.375, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, 11.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.198
0.400, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.425, 0, Ego, 12.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.389
0.425, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, 12.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.579
0.450, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.475, 0, Ego, 12.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.769
0.475, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, 13.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.960
0.500, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.525, 0, Ego, 13.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 6.150
0.525, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, 14.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.058
0.550, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.575, 0, Ego, 14.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.248
0.575, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 0, Ego, 15.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.439
0.600, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.625, 0, Ego, 15.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.629
0.625, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 0, Ego, 15.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.820
0.650, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.675, 0, Ego, 16.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.727
0.675, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.700, 0, Ego, 16.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.917
0.700, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.725, 0, Ego, 17.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.108
0.725, 1, TargetBlocking, 500.000, -13.000, 0.000, 1.570, 0.000, 0.000, 0.000, 0.000, 0.000
0.750, 0, Ego, 17.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.298
