Version: 2, OpenDRIVE: ./ALKS_Road_straight.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, 5.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.000
0.000, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.000, 2, LeadVehicle, 43.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.000
0.025, 0, Ego, 5.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.190
0.025, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.025, 2, LeadVehicle, 43.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.190
0.050, 0, Ego, 5.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.381
0.050, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 2, LeadVehicle, 44.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.381
0.075, 0, Ego, 6.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.571
0.075, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.075, 2, LeadVehicle, 44.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.571
0.100, 0, Ego, 6.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.762
0.100, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 2, LeadVehicle, 45.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.762
0.125, 0, Ego, 7.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.952
0.125, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.125, 2, LeadVehicle, 45.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.952
0.150, 0, Ego, 7.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.860
0.150, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 2, LeadVehicle, 45.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.860
0.175, 0, Ego, 7.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.050
0.175, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.175, 2, LeadVehicle, 46.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.050
0.200, 0, Ego, 8.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.241
0.200, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 2, LeadVehicle, 46.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 3.241
0.225, 0, Ego, 8.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.431
0.225, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.225, 2, LeadVehicle, 47.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.431
0.250, 0, Ego, 9.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.622
0.250, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 2, LeadVehicle, 47.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.622
0.275, 0, Ego, 9.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.529
0.275, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.275, 2, LeadVehicle, 47.917, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.529
0.300, 0, Ego, 10.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.719
0.300, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 2, LeadVehicle, 48.333, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.719
0.325, 0, Ego, 10.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.910
0.325, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.325, 2, LeadVehicle, 48.750, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.910
0.350, 0, Ego, 10.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.100
0.350, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 2, LeadVehicle, 49.167, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 4.100
0.375, 0, Ego, 11.250, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.291
0.375, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.375, 2, LeadVehicle, 49.583, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 5.291
0.400, 0, Ego, 11.667, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.198
0.400, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 2, LeadVehicle, 50.000, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 0.198
0.425, 0, Ego, 12.083, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.389
0.425, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.425, 2, LeadVehicle, 50.417, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 1.389
0.450, 0, Ego, 12.500, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.579
0.450, 1, TargetBlocking, 500.000, -8.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 2, LeadVehicle, 50.833, -8.000, 0.000, 0.000, 0.000, 0.000, 16.667, 0.000, 2.579
