esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ..\resources\myresources\FourWaySignal/./FourWaySignal.xosc
Number of Vehicles: 1
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , 
0, 0.000000, Sedan, 0, 17.881599, 0.000000, 0.000000, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -78.022270, -10.711460, 0.000000, 17.593408, 3.197433, 0.000000, 0.000000, 0.000000, 0.000000, 38.860000, -5.250000, -2, -0.000000, 0.179778, 0.000000, 0.009563, 0.009563, 0.000000, 0.000000, , 
1, 0.025000, Sedan, 0, 17.881599, 0.012500, 1.277257, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -77.583059, -10.628263, 0.000000, 17.568432, 3.327895, 0.000000, -0.999071, 5.218447, 0.000000, 39.306957, -5.242405, -2, 0.007595, 0.201285, 0.860255, 0.031069, 0.031069, 0.000000, 0.000000, , 
2, 0.050000, Sedan, 0, 17.881599, 0.025000, 2.554514, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -77.146466, -10.532317, 0.000000, 17.463734, 3.837811, 0.000000, -4.187883, 20.396664, 0.000000, 39.753493, -5.221803, -2, 0.028197, 0.231023, 1.189524, 0.060807, 0.060807, 0.000000, 0.000000, , 
3, 0.075000, Sedan, 0, 17.881599, 0.037500, 3.831771, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.712724, -10.424158, 0.000000, 17.349686, 4.326375, 0.000000, -4.561926, 19.542559, 0.000000, 40.199289, -5.188680, -2, 0.061320, 0.259222, 1.127977, 0.089007, 0.089007, 0.000000, 0.000000, , 
4, 0.100000, Sedan, 0, 17.881599, 0.050000, 5.109028, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.282334, -10.303342, 0.000000, 17.215583, 4.832633, 0.000000, -5.364137, 20.250302, 0.000000, 40.643924, -5.142516, -2, 0.107484, 0.285625, 1.056115, 0.115410, 0.115410, 0.000000, 0.000000, , 
5, 0.125000, Sedan, 0, 17.881599, 0.062500, 0.103100, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -75.855035, -10.172031, 0.000000, 17.091966, 5.252445, 0.000000, -4.944690, 16.792488, 0.000000, 41.087291, -5.085484, -2, 0.164516, 0.310369, 0.989752, 0.140154, 0.140154, 0.000000, 0.000000, , 
6, 0.150000, Sedan, 0, 17.881599, 0.075000, 1.380357, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -75.430900, -10.030805, 0.000000, 16.965401, 5.649040, 0.000000, -5.062588, 15.863783, 0.000000, 41.529220, -5.018145, -2, 0.231855, 0.333400, 0.921234, 0.163184, 0.163184, 0.000000, 0.000000, , 
7, 0.175000, Sedan, 0, 17.881599, 0.087500, 2.657614, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -75.010208, -9.879628, 0.000000, 16.827663, 6.047072, 0.000000, -5.509520, 15.921315, 0.000000, 41.969440, -4.940416, -2, 0.309584, 0.354533, 0.845322, 0.184317, 0.184317, 0.000000, 0.000000, , 
8, 0.200000, Sedan, 0, 17.881599, 0.100000, 3.934872, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -74.592526, -9.720331, 0.000000, 16.707291, 6.371877, 0.000000, -4.814896, 12.992184, 0.000000, 42.408070, -4.854174, -2, 0.395826, 0.373963, 0.777192, 0.203747, 0.203747, 0.000000, 0.000000, , 
9, 0.225000, Sedan, 0, 17.881599, 0.112500, 5.212129, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -74.177823, -9.553416, 0.000000, 16.588103, 6.676626, 0.000000, -4.767506, 12.189964, 0.000000, 42.845054, -4.759919, -2, 0.490081, 0.391650, 0.707514, 0.221435, 0.221435, 0.000000, 0.000000, , 
10, 0.250000, Sedan, 0, 17.881599, 0.111305, 0.206200, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -73.766135, -9.379199, 0.000000, 16.467550, 6.968675, 0.000000, -4.822113, 11.681954, 0.000000, 43.280305, -4.657958, -2, 0.592042, 0.407489, 0.633533, 0.237273, 0.237273, 0.000000, 0.000000, , 
11, 0.275000, Sedan, 0, 17.881599, 0.099710, 1.483458, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -73.356979, -9.199114, 0.000000, 16.366239, 7.203396, 0.000000, -4.052433, 9.388828, 0.000000, 43.714053, -4.549784, -2, 0.700216, 0.421677, 0.567537, 0.251462, 0.251462, 0.000000, 0.000000, , 
12, 0.300000, Sedan, 0, 17.881599, 0.107515, 2.760715, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -72.950277, -9.013546, 0.000000, 16.268071, 7.422724, 0.000000, -3.926717, 8.773125, 0.000000, 44.146311, -4.435791, -2, 0.814209, 0.436976, 0.611961, 0.266761, 0.266761, 0.000000, 0.000000, , 
13, 0.325000, Sedan, 0, 17.881599, 0.095015, 4.037972, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -72.546009, -8.822731, 0.000000, 16.170736, 7.632577, 0.000000, -3.893398, 8.394144, 0.000000, 44.577060, -4.316215, -2, 0.933785, 0.445349, 0.334895, 0.275133, 0.275133, 0.000000, 0.000000, , 
14, 0.350000, Sedan, 0, 17.881599, 0.082515, 5.315229, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -72.143453, -8.628339, 0.000000, 16.102213, 7.775682, 0.000000, -2.740925, 5.724179, 0.000000, 45.006727, -4.192823, -2, 1.057177, 0.453505, 0.326263, 0.283290, 0.283290, 0.000000, 0.000000, , 
15, 0.375000, Sedan, 0, 17.881599, 0.070015, 0.309301, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -71.742431, -8.430800, 0.000000, 16.040889, 7.901573, 0.000000, -2.452978, 5.035636, 0.000000, 45.435416, -4.066069, -2, 1.183931, 0.461025, 0.300800, 0.290810, 0.290810, 0.000000, 0.000000, , 
16, 0.400000, Sedan, 0, 17.881599, 0.057515, 1.586558, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -71.342696, -8.230662, 0.000000, 15.989400, 8.005500, 0.000000, -2.059558, 4.157102, 0.000000, 45.863276, -3.936537, -2, 1.313463, 0.467293, 0.250708, 0.297078, 0.297078, 0.000000, 0.000000, , 
17, 0.425000, Sedan, 0, 17.881599, 0.045015, 2.863815, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -70.944001, -8.028456, 0.000000, 15.947782, 8.088246, 0.000000, -1.664722, 3.309834, 0.000000, 46.290462, -3.804790, -2, 1.445210, 0.472865, 0.222892, 0.302650, 0.302650, 0.000000, 0.000000, , 
18, 0.450000, Sedan, 0, 17.881599, 0.032515, 4.141072, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -70.546378, -7.824152, 0.000000, 15.904939, 8.172179, 0.000000, -1.713704, 3.357305, 0.000000, 46.716947, -3.670793, -2, 1.579207, 0.473437, 0.022874, 0.303222, 0.303222, 0.000000, 0.000000, , 
19, 0.475000, Sedan, 0, 17.881599, 0.020015, 5.418329, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -70.148755, -7.619847, 0.000000, 15.904939, 8.172179, 0.000000, 0.000000, 0.000000, 0.000000, 47.143432, -3.536796, -2, 1.713204, 0.474009, 0.022874, 0.303794, 0.303794, 0.000000, 0.000000, , 
20, 0.500000, Sedan, 0, 17.881599, 0.007515, 0.412401, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -69.751046, -7.415709, 0.000000, 15.908349, 8.165536, 0.000000, 0.136410, -0.265731, 0.000000, 47.569973, -3.402978, -1, -1.652978, 0.473689, -0.012796, 0.303474, 0.303474, 0.000000, 0.000000, , 
21, 0.525000, Sedan, 0, 17.881599, -0.004985, 1.689658, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -69.353269, -7.211703, 0.000000, 15.911067, 8.160241, 0.000000, 0.108716, -0.211782, 0.000000, 47.996559, -3.269301, -1, -1.519301, 0.472658, -0.041224, 0.302443, 0.302443, 0.000000, 0.000000, , 
22, 0.550000, Sedan, 0, 17.881599, -0.011117, 2.966915, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -68.955362, -7.007954, 0.000000, 15.916291, 8.149974, 0.000000, 0.208955, -0.410697, 0.000000, 48.423230, -3.135899, -1, -1.385899, 0.471076, -0.063275, 0.300861, 0.300861, 0.000000, 0.000000, , 
23, 0.575000, Sedan, 0, 17.881599, -0.023617, 4.244172, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -68.556272, -6.806528, 0.000000, 15.963585, 8.057018, 0.000000, 1.891757, -3.718206, 0.000000, 48.850672, -3.004989, -1, -1.254989, 0.464504, -0.262912, 0.294288, 0.294288, 0.000000, 0.000000, , 
24, 0.600000, Sedan, 0, 17.881599, -0.036117, 5.521429, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -68.155875, -6.607717, 0.000000, 16.015878, 7.952437, 0.000000, 2.091713, -4.183257, 0.000000, 49.278960, -2.876876, -1, -1.126876, 0.457473, -0.281232, 0.287258, 0.287258, 0.000000, 0.000000, , 
25, 0.625000, Sedan, 0, 17.881599, -0.048617, 0.515501, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -67.754028, -6.411863, 0.000000, 16.073891, 7.834187, 0.000000, 2.320513, -4.730011, 0.000000, 49.708177, -2.751922, -1, -1.001922, 0.449085, -0.335502, 0.278870, 0.278870, 0.000000, 0.000000, , 
26, 0.650000, Sedan, 0, 17.881599, -0.060628, 1.792758, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -67.350489, -6.219524, 0.000000, 16.141542, 7.693526, 0.000000, 2.706049, -5.626441, 0.000000, 50.139399, -2.630721, -1, -0.880721, 0.440458, -0.345088, 0.270243, 0.270243, 0.000000, 0.000000, , 
27, 0.675000, Sedan, 0, 17.881599, -0.071227, 3.070015, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -66.945176, -6.030946, 0.000000, 16.212552, 7.543122, 0.000000, 2.840403, -6.016161, 0.000000, 50.573540, -2.513526, -1, -0.763526, 0.430323, -0.405414, 0.260108, 0.260108, 0.000000, 0.000000, , 
28, 0.700000, Sedan, 0, 17.881599, -0.083727, 4.347272, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -66.537380, -5.847796, 0.000000, 16.311838, 7.326021, 0.000000, 3.971441, -8.684009, 0.000000, 51.008973, -2.402101, -1, -0.652101, 0.414733, -0.623574, 0.244518, 0.244518, 0.000000, 0.000000, , 
29, 0.725000, Sedan, 0, 17.881599, -0.096227, 5.624529, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -66.126830, -5.670907, 0.000000, 16.421976, 7.075544, 0.000000, 4.405511, -10.019081, 0.000000, 51.445845, -2.297313, -1, -0.547313, 0.399603, -0.605200, 0.229388, 0.229388, 0.000000, 0.000000, , 
30, 0.750000, Sedan, 0, 17.881599, -0.108727, 0.618601, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -65.713630, -5.500313, 0.000000, 16.527999, 6.823773, 0.000000, 4.240910, -10.070853, 0.000000, 51.884067, -2.199178, -1, -0.449178, 0.382803, -0.672010, 0.212588, 0.212588, 0.000000, 0.000000, , 
31, 0.775000, Sedan, 0, 17.881599, -0.121227, 1.895858, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -65.297543, -5.336882, 0.000000, 16.643501, 6.537252, 0.000000, 4.620094, -11.460823, 0.000000, 52.323752, -2.108592, -1, -0.358592, 0.364268, -0.741422, 0.194052, 0.194052, 0.000000, 0.000000, , 
32, 0.800000, Sedan, 0, 17.881599, -0.133727, 3.173115, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -64.878176, -5.182067, 0.000000, 16.774663, 6.192565, 0.000000, 5.246484, -13.787504, 0.000000, 52.765074, -2.027053, -1, -0.277053, 0.343843, -0.816965, 0.173628, 0.173628, 0.000000, 0.000000, , 
33, 0.825000, Sedan, 0, 17.881599, -0.146227, 4.450373, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -64.455743, -5.035844, 0.000000, 16.897326, 5.848917, 0.000000, 4.906503, -13.745899, 0.000000, 53.207855, -1.954501, -1, -0.204501, 0.321706, -0.885515, 0.151490, 0.151490, 0.000000, 0.000000, , 
34, 0.850000, Sedan, 0, 17.881599, -0.158727, 5.727630, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -64.030089, -4.899268, 0.000000, 17.026159, 5.463076, 0.000000, 5.153339, -15.433660, 0.000000, 53.652106, -1.892001, -1, -0.142001, 0.297803, -0.956121, 0.127749, 0.127749, 0.000000, -0.004035, , 
35, 0.875000, Sedan, 0, 17.881599, -0.171227, 0.721701, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -63.601024, -4.773837, 0.000000, 17.162607, 5.017233, 0.000000, 5.457903, -17.833720, 0.000000, 54.097808, -1.840622, -1, -0.090622, 0.272055, -1.029896, 0.103800, 0.103800, 0.000000, -0.004035, , 
36, 0.900000, Sedan, 0, 17.881599, -0.183727, 1.998959, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -63.168905, -4.659393, 0.000000, 17.284738, 4.577752, 0.000000, 4.885265, -17.579219, 0.000000, 54.544668, -1.799784, -1, -0.049784, 0.244665, -1.095616, 0.078213, 0.078213, 0.000000, -0.004035, , 
37, 0.925000, Sedan, 0, 17.881599, -0.196227, 3.276216, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -62.733745, -4.557093, 0.000000, 17.406409, 4.091993, 0.000000, 4.866810, -19.430363, 0.000000, 54.992529, -1.770618, -1, -0.020618, 0.215633, -1.161261, 0.050988, 0.050988, 0.000000, -0.004035, , 
38, 0.950000, Sedan, 0, 17.881599, -0.208727, 4.553473, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -62.295609, -4.468440, 0.000000, 17.525464, 3.546120, 0.000000, 4.762198, -21.834940, 0.000000, 55.441133, -1.754593, -1, -0.004593, 0.184976, -1.226284, 0.022141, 0.022141, 0.000000, -0.004035, , 
39, 0.975000, Sedan, 0, 17.881599, -0.196227, 5.830730, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -61.855103, -4.392409, 0.000000, 17.620217, 3.041237, 0.000000, 3.790145, -20.195327, 0.000000, 55.890081, -1.750595, -1, -0.000595, 0.158397, -1.063182, 6.280558, -0.002627, 0.000000, -0.004035, , 
40, 1.000000, Sedan, 0, 17.881599, -0.183727, 0.824802, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -61.413590, -4.322333, 0.000000, 17.660538, 2.803034, 0.000000, 1.612822, -9.528093, 0.000000, 56.339096, -1.751826, -1, -0.001826, 0.157170, -0.049077, 6.281142, -0.002043, 0.000000, -0.004035, , 
41, 1.025000, Sedan, 0, 17.881599, -0.171227, 2.102059, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -60.972076, -4.252257, 0.000000, 17.660538, 2.803034, 0.000000, 0.000000, 0.000000, 0.000000, 56.788107, -1.752244, -1, -0.002244, 0.155943, -0.049077, 6.281727, -0.001458, 0.000000, -0.004035, , 
