esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: N/A - client build
Scenario File Name: ..\resources\myresources\Circle/./circle.xosc
Number of Vehicles: 4
Index [-] , TimeStamp [s] , #1 Entitity_Name [-] , #1 Entitity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entitity_Name [-] , #2 Entitity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , #3 Entitity_Name [-] , #3 Entitity_ID [-] , #3 Current_Speed [m/s] , #3 Wheel_Angle [deg] , #3 Wheel_Rotation [-] , #3 bb_x [m] , #3 bb_y [m] , #3 bb_z [m] , #3 bb_length [m] , #3 bb_width [m] , #3 bb_height [m] , #3 World_Position_X [m] , #3 World_Position_Y [m] , #3 World_Position_Z [m] , #3 Vel_X [m/s] , #3 Vel_Y [m/s] , #3 Vel_Z [m/s] , #3 Acc_X [m/s2] , #3 Acc_Y [m/s2] , #3 Acc_Z [m/s2] , #3 Distance_Travelled_Along_Road_Segment [m] , #3 Lateral_Distance_Lanem [m] , #3 lane_id, #3 lane_offset [m] , #3 World_Heading_Angle [rad] , #3 Heading_Angle_Rate [rad/s] , #3 Relative_Heading_Angle [rad] , #3 Relative_Heading_Angle_Drive_Direction [rad] , #3 World_Pitch_Angle [rad] , #3 Road_Curvature [1/m] , #3 collision_ids , #4 Entitity_Name [-] , #4 Entitity_ID [-] , #4 Current_Speed [m/s] , #4 Wheel_Angle [deg] , #4 Wheel_Rotation [-] , #4 bb_x [m] , #4 bb_y [m] , #4 bb_z [m] , #4 bb_length [m] , #4 bb_width [m] , #4 bb_height [m] , #4 World_Position_X [m] , #4 World_Position_Y [m] , #4 World_Position_Z [m] , #4 Vel_X [m/s] , #4 Vel_Y [m/s] , #4 Vel_Z [m/s] , #4 Acc_X [m/s2] , #4 Acc_Y [m/s2] , #4 Acc_Z [m/s2] , #4 Distance_Travelled_Along_Road_Segment [m] , #4 Lateral_Distance_Lanem [m] , #4 lane_id, #4 lane_offset [m] , #4 World_Heading_Angle [rad] , #4 Heading_Angle_Rate [rad/s] , #4 Relative_Heading_Angle [rad] , #4 Relative_Heading_Angle_Drive_Direction [rad] , #4 World_Pitch_Angle [rad] , #4 Road_Curvature [1/m] , #4 collision_ids , 
0, 0.000000, Sedan, 0, 17.881599, 0.000000, 0.000000, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -158.039891, 13.429902, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, 0.000000, 0.000000, 75.794122, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 0.000000, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.309670, -83.905611, 0.000000, 0.643176, 17.870029, 0.000000, 0.000000, 0.000000, 0.000000, 25.894100, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 0.000000, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 105.003182, 1.587469, 0.000000, -17.878418, -0.337274, 0.000000, 0.000000, 0.000000, 0.000000, 41.273000, 1.750000, 1, 0.000000, -3.122730, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, 0.000000, 0.000000, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -75.979643, -10.080036, 0.000000, -5.660818, 16.961920, 0.000000, 0.000000, 0.000000, 0.000000, 18.488700, 1.750000, 1, 0.000000, 1.892910, 0.000000, 3.141571, -0.000022, 0.000000, 0.014729, , 
1, 0.025000, Sedan, 0, 17.881599, 0.000000, 1.277257, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -157.592886, 13.435504, 0.000000, 17.880195, 0.224072, 0.000000, -0.000000, 0.000000, 0.000000, 76.241162, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 1.277257, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.293589, -83.458860, 0.000000, 0.643237, 17.870026, 0.000000, 0.002441, -0.000088, 0.000000, 26.341140, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 1.277257, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 104.556222, 1.579036, 0.000000, -17.878418, -0.337302, 0.000000, 0.000021, -0.001114, 0.000000, 40.825960, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.012500, 1.277257, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.119739, -9.655516, 0.000000, -5.603820, 16.980800, 0.000000, 2.279905, 0.755202, 0.000000, 18.029832, 1.750000, 1, 0.000000, 1.886151, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
2, 0.050000, Sedan, 0, 17.881599, 0.000000, 2.554514, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -157.145881, 13.441106, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, 0.000000, 0.000000, 76.688202, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 2.554514, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.277509, -83.012110, 0.000000, 0.643237, 17.870026, 0.000000, 0.000000, 0.000000, 0.000000, 26.788180, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 2.554514, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 104.109261, 1.570604, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 40.378920, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.025000, 2.554514, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.256962, -9.230059, 0.000000, -5.488923, 17.018287, 0.000000, 4.595881, 1.499479, 0.000000, 17.570964, 1.750000, 1, 0.000000, 1.879392, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
3, 0.075000, Sedan, 0, 17.881599, 0.000000, 3.831771, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -156.698876, 13.446707, 0.000000, 17.880195, 0.224072, 0.000000, -0.000000, -0.000000, 0.000000, 77.135242, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 3.831771, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.261428, -82.565359, 0.000000, 0.643237, 17.870026, 0.000000, -0.000000, -0.000000, 0.000000, 27.235220, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 3.831771, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 103.662301, 1.562171, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 39.931880, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.037500, 3.831771, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.391306, -8.803684, 0.000000, -5.373775, 17.054997, 0.000000, 4.605911, 1.468383, 0.000000, 17.112096, 1.750000, 1, 0.000000, 1.872634, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
4, 0.100000, Sedan, 0, 17.881599, 0.000000, 5.109028, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -156.251871, 13.452309, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, 0.000000, 0.000000, 77.582282, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 5.109028, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.245347, -82.118608, 0.000000, 0.643237, 17.870026, 0.000000, 0.000000, 0.000000, 0.000000, 27.682260, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 5.109028, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 103.215340, 1.553738, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 39.484840, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.047498, 5.109028, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.522766, -8.376410, 0.000000, -5.258382, 17.090927, 0.000000, 4.615730, 1.437219, 0.000000, 16.653228, 1.750000, 1, 0.000000, 1.865875, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
5, 0.125000, Sedan, 0, 17.881599, 0.000000, 0.103100, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -155.804867, 13.457911, 0.000000, 17.880195, 0.224072, 0.000000, -0.000000, 0.000000, 0.000000, 78.029322, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 0.103100, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.229266, -81.671858, 0.000000, 0.643237, 17.870026, 0.000000, 0.000000, -0.000000, 0.000000, 28.129300, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 0.103100, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 102.768380, 1.545306, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 39.037800, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.047498, 0.103100, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.651335, -7.948258, 0.000000, -5.142749, 17.126077, 0.000000, 4.625338, 1.405989, 0.000000, 16.194361, 1.750000, 1, 0.000000, 1.859116, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
6, 0.150000, Sedan, 0, 17.881599, 0.000000, 1.380357, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -155.357862, 13.463513, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, 0.000000, 0.000000, 78.476362, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 1.380357, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.213185, -81.225107, 0.000000, 0.643237, 17.870026, 0.000000, -0.000000, 0.000000, 0.000000, 28.576340, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 1.380357, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 102.321419, 1.536873, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 38.590760, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.047498, 1.380357, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.777007, -7.519247, 0.000000, -5.026880, 17.160444, 0.000000, 4.634735, 1.374696, 0.000000, 15.735493, 1.750000, 1, 0.000000, 1.852357, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
7, 0.175000, Sedan, 0, 17.881599, 0.000000, 2.657614, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -154.910857, 13.469115, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, -0.000000, 0.000000, 78.923402, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 2.657614, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.197104, -80.778356, 0.000000, 0.643237, 17.870026, 0.000000, 0.000000, 0.000000, 0.000000, 29.023380, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 2.657614, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 101.874459, 1.528441, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 38.143720, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.047498, 2.657614, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -76.899776, -7.089397, 0.000000, -4.910782, 17.194028, 0.000000, 4.643921, 1.343339, 0.000000, 15.276625, 1.750000, 1, 0.000000, 1.845598, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
8, 0.200000, Sedan, 0, 17.881599, 0.000000, 3.934872, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -154.463852, 13.474716, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, 0.000000, 0.000000, 79.370442, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 3.934872, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.181023, -80.331606, 0.000000, 0.643237, 17.870026, 0.000000, 0.000000, 0.000000, 0.000000, 29.470420, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 3.934872, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 101.427498, 1.520008, 0.000000, -17.878418, -0.337302, 0.000000, -0.000000, -0.000000, 0.000000, 37.696680, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.047498, 3.934872, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -77.019638, -6.658726, 0.000000, -4.794460, 17.226826, 0.000000, 4.652894, 1.311922, 0.000000, 14.817757, 1.750000, 1, 0.000000, 1.838840, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
9, 0.225000, Sedan, 0, 17.881599, 0.000000, 5.212129, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -154.016847, 13.480318, 0.000000, 17.880195, 0.224072, 0.000000, 0.000000, -0.000000, 0.000000, 79.817482, -1.750000, -1, -0.000000, 0.012531, 0.000000, 6.283185, -0.000000, 0.000000, 0.000000, , Sedan2, 1, 17.881599, 0.000000, 5.212129, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -5.164942, -79.884855, 0.000000, 0.643237, 17.870026, 0.000000, -0.000000, 0.000000, 0.000000, 29.917460, -1.750000, -1, 0.000000, 1.534820, 0.000000, 0.000003, 0.000003, 0.000000, 0.000000, , Sedan3, 2, 17.881599, 0.000000, 5.212129, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, 100.980538, 1.511576, 0.000000, -17.878418, -0.337302, 0.000000, 0.000000, 0.000000, 0.000000, 37.249640, 1.750000, 1, 0.000000, 3.160455, 0.000000, 3.141591, -0.000002, 0.000000, 0.000000, , Sedan4, 3, 17.881599, -0.047498, 5.212129, -0.007062, 0.000000, 0.727468, 4.555610, 1.937780, 1.453820, -77.136586, -6.227255, 0.000000, -4.677919, 17.258837, 0.000000, 4.661655, 1.280444, 0.000000, 14.358889, 1.750000, 1, 0.000000, 1.832081, -0.270352, 3.141571, -0.000022, 0.000000, 0.014729, , 
