Version: 2, OpenDRIVE: ./circle.xodr, 3DModel: ./circle.osgb
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Sedan, -158.040, 13.430, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 0.000
0.000, 1, Sedan2, -5.310, -83.906, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 0.000
0.000, 2, Sedan3, 105.003, 1.587, 0.000, -3.123, 0.000, 0.000, 17.882, 0.000, 0.000
0.000, 3, Sedan4, -75.980, -10.080, 0.000, 1.893, 0.000, 0.000, 17.882, 0.000, 0.000
0.025, 0, Sedan, -157.593, 13.436, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 1.277
0.025, 1, Sedan2, -5.294, -83.459, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 1.277
0.025, 2, Sedan3, 104.556, 1.579, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 1.277
0.025, 3, Sedan4, -76.120, -9.656, 0.000, 1.886, 0.000, 0.000, 17.882, -0.013, 1.277
0.050, 0, Sedan, -157.146, 13.441, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 2.555
0.050, 1, Sedan2, -5.278, -83.012, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 2.555
0.050, 2, Sedan3, 104.109, 1.571, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 2.555
0.050, 3, Sedan4, -76.257, -9.230, 0.000, 1.879, 0.000, 0.000, 17.882, -0.025, 2.555
0.075, 0, Sedan, -156.699, 13.447, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 3.832
0.075, 1, Sedan2, -5.261, -82.565, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 3.832
0.075, 2, Sedan3, 103.662, 1.562, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 3.832
0.075, 3, Sedan4, -76.391, -8.804, 0.000, 1.873, 0.000, 0.000, 17.882, -0.038, 3.832
0.100, 0, Sedan, -156.252, 13.452, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 5.109
0.100, 1, Sedan2, -5.245, -82.119, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 5.109
0.100, 2, Sedan3, 103.215, 1.554, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 5.109
0.100, 3, Sedan4, -76.523, -8.376, 0.000, 1.866, 0.000, 0.000, 17.882, -0.047, 5.109
0.125, 0, Sedan, -155.805, 13.458, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 0.103
0.125, 1, Sedan2, -5.229, -81.672, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 0.103
0.125, 2, Sedan3, 102.768, 1.545, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 0.103
0.125, 3, Sedan4, -76.651, -7.948, 0.000, 1.859, 0.000, 0.000, 17.882, -0.047, 0.103
0.150, 0, Sedan, -155.358, 13.464, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 1.380
0.150, 1, Sedan2, -5.213, -81.225, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 1.380
0.150, 2, Sedan3, 102.321, 1.537, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 1.380
0.150, 3, Sedan4, -76.777, -7.519, 0.000, 1.852, 0.000, 0.000, 17.882, -0.047, 1.380
0.175, 0, Sedan, -154.911, 13.469, 0.000, 0.013, 0.000, 0.000, 17.882, 0.000, 2.658
0.175, 1, Sedan2, -5.197, -80.778, 0.000, 1.535, 0.000, 0.000, 17.882, 0.000, 2.658
0.175, 2, Sedan3, 101.874, 1.528, 0.000, 3.160, 0.000, 0.000, 17.882, 0.000, 2.658
